Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Analysed
ppb.iBAQ.GP5D_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	GP5d	http://www.ebi.ac.uk/efo/EFO_0006576	GP5d	http://www.ebi.ac.uk/efo/EFO_0006576	Yes
ppb.iBAQ.HCA7_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	HCA-7	http://www.ebi.ac.uk/efo/EFO_0006415	HCA-7	http://www.ebi.ac.uk/efo/EFO_0006415	Yes
ppb.iBAQ.HCC2998_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	HCC2998	http://www.ebi.ac.uk/efo/EFO_0005370	HCC2998	http://www.ebi.ac.uk/efo/EFO_0005370	Yes
ppb.iBAQ.HCT116_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon carcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	HCT116	http://www.ebi.ac.uk/efo/EFO_0002824	HCT116	http://www.ebi.ac.uk/efo/EFO_0002824	Yes
ppb.iBAQ.HCT15_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	HCT15	http://www.ebi.ac.uk/efo/EFO_0002188	HCT15	http://www.ebi.ac.uk/efo/EFO_0002188	Yes
ppb.iBAQ.HCT8_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	HCT8	http://www.ebi.ac.uk/efo/EFO_0002189	HCT8	http://www.ebi.ac.uk/efo/EFO_0002189	Yes
ppb.iBAQ.HRA19_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	HRA19		HRA19		Yes
ppb.iBAQ.HT115_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon carcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	HT115	http://www.ebi.ac.uk/efo/EFO_0006442	HT115	http://www.ebi.ac.uk/efo/EFO_0006442	Yes
ppb.iBAQ.HT29_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colon	http://purl.obolibrary.org/obo/UBERON_0001155	rectosigmoid adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001966	HT-29	http://www.ebi.ac.uk/efo/EFO_0001193	HT-29	http://www.ebi.ac.uk/efo/EFO_0001193	Yes
ppb.iBAQ.HT55_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon carcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	HT55	http://www.ebi.ac.uk/efo/EFO_0006444	HT55	http://www.ebi.ac.uk/efo/EFO_0006444	Yes
ppb.iBAQ.Isreco.1_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Isreco-1		Isreco-1		Yes
ppb.iBAQ.Isreco.2_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Isreco-2		Isreco-2		Yes
