Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[disease staging]	Sample Characteristic Ontology Term[disease staging]	Sample Characteristic[individual]	Sample Characteristic Ontology Term[individual]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
ppb.iBAQ.MCF10A_1_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MCF 10A	http://www.ebi.ac.uk/efo/EFO_0001200	not available		not available		not available		not available		breast fibrocystic disease	http://www.ebi.ac.uk/efo/EFO_0003014	MCF 10A	http://www.ebi.ac.uk/efo/EFO_0001200	breast fibrocystic disease	http://www.ebi.ac.uk/efo/EFO_0003014	Yes
ppb.iBAQ.MCF10A_1_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MCF 10A	http://www.ebi.ac.uk/efo/EFO_0001200	not available		not available		not available		not available		breast fibrocystic disease	http://www.ebi.ac.uk/efo/EFO_0003014	MCF 10A	http://www.ebi.ac.uk/efo/EFO_0001200	breast fibrocystic disease	http://www.ebi.ac.uk/efo/EFO_0003014	Yes
ppb.iBAQ.MCF10A_2_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MCF 10A	http://www.ebi.ac.uk/efo/EFO_0001200	not available		not available		not available		not available		breast fibrocystic disease	http://www.ebi.ac.uk/efo/EFO_0003014	MCF 10A	http://www.ebi.ac.uk/efo/EFO_0001200	breast fibrocystic disease	http://www.ebi.ac.uk/efo/EFO_0003014	Yes
ppb.iBAQ.MCF10A_2_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MCF 10A	http://www.ebi.ac.uk/efo/EFO_0001200	not available		not available		not available		not available		breast fibrocystic disease	http://www.ebi.ac.uk/efo/EFO_0003014	MCF 10A	http://www.ebi.ac.uk/efo/EFO_0001200	breast fibrocystic disease	http://www.ebi.ac.uk/efo/EFO_0003014	Yes
ppb.iBAQ.MCF7_1_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	not available		not available		not available		not available		invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
ppb.iBAQ.MCF7_1_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	not available		not available		not available		not available		invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
ppb.iBAQ.MCF7_2_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	not available		not available		not available		not available		invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
ppb.iBAQ.MCF7_2_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	not available		not available		not available		not available		invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
ppb.iBAQ.MDAMB157_1_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDAMB157	http://www.ebi.ac.uk/efo/EFO_0001206	not available		not available		not available		not available		breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	MDAMB157	http://www.ebi.ac.uk/efo/EFO_0001206	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
ppb.iBAQ.MDAMB157_1_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDAMB157	http://www.ebi.ac.uk/efo/EFO_0001206	not available		not available		not available		not available		breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	MDAMB157	http://www.ebi.ac.uk/efo/EFO_0001206	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
