Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Factor Value[disease]	Factor Value Ontology Term[disease]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Analysed
guot_L130617_004_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MOLT4	http://www.ebi.ac.uk/efo/EFO_0001220			leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	MOLT4	http://www.ebi.ac.uk/efo/EFO_0001220	Yes
guot_L130617_005_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	H460	http://www.ebi.ac.uk/efo/EFO_0003044	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	H460	http://www.ebi.ac.uk/efo/EFO_0003044	Yes
guot_L130617_006_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	U251	http://www.ebi.ac.uk/efo/EFO_0006498	brain	http://purl.obolibrary.org/obo/UBERON_0000955	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	U251	http://www.ebi.ac.uk/efo/EFO_0006498	Yes
guot_L130618_002_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	COLO205	http://www.ebi.ac.uk/efo/EFO_0003082	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	COLO205	http://www.ebi.ac.uk/efo/EFO_0003082	Yes
guot_L130618_003_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDAMB468	http://www.ebi.ac.uk/efo/EFO_0001216	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast cancer	http://www.ebi.ac.uk/efo/EFO_0000305	breast cancer	http://www.ebi.ac.uk/efo/EFO_0000305	MDAMB468	http://www.ebi.ac.uk/efo/EFO_0001216	Yes
guot_L130618_004_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	H226	http://www.ebi.ac.uk/efo/EFO_0002285	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	H226	http://www.ebi.ac.uk/efo/EFO_0002285	Yes
guot_L130618_005_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OVCAR3	http://www.ebi.ac.uk/efo/EFO_0003061	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	OVCAR3	http://www.ebi.ac.uk/efo/EFO_0003061	Yes
guot_L130618_006_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SF268	http://www.ebi.ac.uk/efo/EFO_0005451	cell culture	http://purl.obolibrary.org/obo/BTO_0000214	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	SF268	http://www.ebi.ac.uk/efo/EFO_0005451	Yes
guot_L130619_002_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC2998	http://www.ebi.ac.uk/efo/EFO_0005370	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	HCC2998	http://www.ebi.ac.uk/efo/EFO_0005370	Yes
guot_L130619_003_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDAMB435	http://www.ebi.ac.uk/efo/EFO_0001213			melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	MDAMB435	http://www.ebi.ac.uk/efo/EFO_0001213	Yes
guot_L130619_004_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MCF7ADR		ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	MCF7ADR		Yes
guot_L130619_005_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	H23	http://www.ebi.ac.uk/efo/EFO_0002286	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	H23	http://www.ebi.ac.uk/efo/EFO_0002286	Yes
guot_L130619_006_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	UO31		kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	UO31		Yes
guot_L130620_002_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HOP62	http://www.ebi.ac.uk/efo/EFO_0006439	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	HOP62	http://www.ebi.ac.uk/efo/EFO_0006439	Yes
guot_L130620_005_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OVCAR5	http://www.ebi.ac.uk/efo/EFO_0005443	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	OVCAR5	http://www.ebi.ac.uk/efo/EFO_0005443	Yes
guot_L130620_006_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SR				leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	SR		Yes
guot_L130621_002_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HOP92	http://www.ebi.ac.uk/efo/EFO_0006440	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	HOP92	http://www.ebi.ac.uk/efo/EFO_0006440	Yes
guot_L130621_003_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LOXIMVI	http://www.ebi.ac.uk/efo/EFO_0006284			melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	LOXIMVI	http://www.ebi.ac.uk/efo/EFO_0006284	Yes
guot_L130621_004_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PC3	http://www.ebi.ac.uk/efo/EFO_0002074	prostate	http://purl.obolibrary.org/obo/UBERON_0002367	prostate cancer	http://www.ebi.ac.uk/efo/EFO_0001663	prostate cancer	http://www.ebi.ac.uk/efo/EFO_0001663	PC3	http://www.ebi.ac.uk/efo/EFO_0002074	Yes
guot_L130621_005_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SN12C		kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	SN12C		Yes
guot_L130622_002_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CCRFCEM	http://www.ebi.ac.uk/efo/EFO_0002128	blood	http://purl.obolibrary.org/obo/UBERON_0000178	leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	CCRFCEM	http://www.ebi.ac.uk/efo/EFO_0002128	Yes
guot_L130622_003_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EKVX	http://www.ebi.ac.uk/efo/EFO_0006786	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	EKVX	http://www.ebi.ac.uk/efo/EFO_0006786	Yes
guot_L130622_004_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCT116	http://www.ebi.ac.uk/efo/EFO_0002824	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	HCT116	http://www.ebi.ac.uk/efo/EFO_0002824	Yes
guot_L130622_005_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	IGROV1	http://www.ebi.ac.uk/efo/EFO_0005385	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	IGROV1	http://www.ebi.ac.uk/efo/EFO_0005385	Yes
guot_L130622_006_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RXF393		kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	RXF393		Yes
guot_L130623_002_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAKI1	http://www.ebi.ac.uk/efo/EFO_0002149	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	CAKI1	http://www.ebi.ac.uk/efo/EFO_0002149	Yes
guot_L130623_003_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KM12	http://www.ebi.ac.uk/efo/EFO_0006282	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	KM12	http://www.ebi.ac.uk/efo/EFO_0006282	Yes
guot_L130623_004_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SF539	http://www.ebi.ac.uk/efo/EFO_0005453	cell culture	http://purl.obolibrary.org/obo/BTO_0000214	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	SF539	http://www.ebi.ac.uk/efo/EFO_0005453	Yes
guot_L130623_005_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SKMEL2		skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	SKMEL2		Yes
guot_L130623_006_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SKOV3	http://www.ebi.ac.uk/efo/EFO_0002340	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	SKOV3	http://www.ebi.ac.uk/efo/EFO_0002340	Yes
guot_L130624_002_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SN12C		kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	SN12C		Yes
guot_L130624_003_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HT29	http://www.ebi.ac.uk/efo/EFO_0001193	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	HT29	http://www.ebi.ac.uk/efo/EFO_0001193	Yes
guot_L130624_004_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	K562	http://www.ebi.ac.uk/efo/EFO_0002067	bone marrow	http://purl.obolibrary.org/obo/UBERON_0002371	leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	K562	http://www.ebi.ac.uk/efo/EFO_0002067	Yes
guot_L130624_005_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDAMB231	http://www.ebi.ac.uk/efo/EFO_0001209	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast cancer	http://www.ebi.ac.uk/efo/EFO_0000305	breast cancer	http://www.ebi.ac.uk/efo/EFO_0000305	MDAMB231	http://www.ebi.ac.uk/efo/EFO_0001209	Yes
guot_L130624_006_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SKMEL5	http://www.ebi.ac.uk/efo/EFO_0005720	skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	SKMEL5	http://www.ebi.ac.uk/efo/EFO_0005720	Yes
guot_L130625_002_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HL60	http://www.ebi.ac.uk/efo/EFO_0002793	blood	http://purl.obolibrary.org/obo/UBERON_0000178	leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	HL60	http://www.ebi.ac.uk/efo/EFO_0002793	Yes
guot_L130625_003_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast cancer	http://www.ebi.ac.uk/efo/EFO_0000305	breast cancer	http://www.ebi.ac.uk/efo/EFO_0000305	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	Yes
guot_L130625_004_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SF295	http://www.ebi.ac.uk/efo/EFO_0005452	cell culture	http://purl.obolibrary.org/obo/BTO_0000214	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	SF295	http://www.ebi.ac.uk/efo/EFO_0005452	Yes
guot_L130625_005_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SKMEL28		skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	SKMEL28		Yes
guot_L130625_006_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SW620	http://www.ebi.ac.uk/efo/EFO_0002368	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	SW620	http://www.ebi.ac.uk/efo/EFO_0002368	Yes
guot_L130626_002_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	A498	http://www.ebi.ac.uk/efo/EFO_0002105	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	A498	http://www.ebi.ac.uk/efo/EFO_0002105	Yes
guot_L130626_003_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	H322M		lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	H322M		Yes
guot_L130626_004_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OVCAR8	http://www.ebi.ac.uk/efo/EFO_0005444	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	OVCAR8	http://www.ebi.ac.uk/efo/EFO_0005444	Yes
guot_L130626_005_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNB19	http://www.ebi.ac.uk/efo/EFO_0002342	brain	http://purl.obolibrary.org/obo/UBERON_0000955	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	SNB19	http://www.ebi.ac.uk/efo/EFO_0002342	Yes
guot_L130626_006_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	UACC62				melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	UACC62		Yes
guot_L130627_002_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ACHN	http://www.ebi.ac.uk/efo/EFO_0002108	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	ACHN	http://www.ebi.ac.uk/efo/EFO_0002108	Yes
guot_L130627_003_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MALME3M	http://www.ebi.ac.uk/efo/EFO_0002243			melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	MALME3M	http://www.ebi.ac.uk/efo/EFO_0002243	Yes
guot_L130627_004_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OVCAR4	http://www.ebi.ac.uk/efo/EFO_0005442	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	OVCAR4	http://www.ebi.ac.uk/efo/EFO_0005442	Yes
guot_L130627_005_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RPMI8226	http://www.ebi.ac.uk/efo/EFO_0002322	blood	http://purl.obolibrary.org/obo/UBERON_0000178	leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	RPMI8226	http://www.ebi.ac.uk/efo/EFO_0002322	Yes
