Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[disease staging]	Sample Characteristic Ontology Term[disease staging]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Analysed
ppb.iBAQ.IGROV.1.CP_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	Ovarian Endometrioid Adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000416	not available		IGROV-1/CP		IGROV-1/CP		Yes
ppb.iBAQ.IGROV1_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	Ovarian Endometrioid Adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000416	not available		IGROV-1	http://www.ebi.ac.uk/efo/EFO_0005385	IGROV-1	http://www.ebi.ac.uk/efo/EFO_0005385	Yes
ppb.iBAQ.IGROV1_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	Ovarian Endometrioid Adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000416	not available		IGROV-1	http://www.ebi.ac.uk/efo/EFO_0005385	IGROV-1	http://www.ebi.ac.uk/efo/EFO_0005385	Yes
ppb.iBAQ.IGROV1_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	Ovarian Endometrioid Adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000416	not available		IGROV-1	http://www.ebi.ac.uk/efo/EFO_0005385	IGROV-1	http://www.ebi.ac.uk/efo/EFO_0005385	Yes
ppb.iBAQ.IOSE397_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	premalignant ovarian carcinoma		not available		IOSE-397		IOSE-397		Yes
ppb.iBAQ.IOSE397_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	premalignant ovarian carcinoma		not available		IOSE-397		IOSE-397		Yes
ppb.iBAQ.IOSE397_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	premalignant ovarian carcinoma		not available		IOSE-397		IOSE-397		Yes
ppb.iBAQ.IOSE7576_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	premalignant ovarian carcinoma		not available		IOSE-7576		IOSE-7576		Yes
ppb.iBAQ.IOSE7576_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	premalignant ovarian carcinoma		not available		IOSE-7576		IOSE-7576		Yes
ppb.iBAQ.IOSE7576_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	premalignant ovarian carcinoma		not available		IOSE-7576		IOSE-7576		Yes
