Plex Dataset Name,Run Metadata ID,Number of Fractions,label_free
"TCGA-AA-A00A-01A-41_Proteome_VU_20130120","S016-1-28","15","TCGA-AA-A00A
Primary Tumor"
"TCGA-AA-A00E-01A-31_Proteome_VU_20121012","S016-1-29","15","TCGA-AA-A00E
Primary Tumor"
"TCGA-AA-A00F-01A-31_Proteome_VU_20121222","S016-1-30","15","TCGA-AA-A00F
Primary Tumor"
"TCGA-AA-A00J-01A-12_Proteome_VU_20120804","S016-1-31","15","TCGA-AA-A00J
Primary Tumor"
"TCGA-AA-A00K-01A-12_Proteome_VU_20121213","S016-1-32","15","TCGA-AA-A00K
Primary Tumor"
"TCGA-AA-A00K-01A-31_Proteome_VU_20120912","S016-1-33","15","TCGA-AA-A00K
Primary Tumor"
"TCGA-AA-A00N-01A-32_Proteome_VU_20121027","S016-1-34","15","TCGA-AA-A00N
Primary Tumor"
"TCGA-AA-A00N-01A-41_Proteome_VU_20121127","S016-1-35","15","TCGA-AA-A00N
Primary Tumor"
"TCGA-AA-A00O-01A-13_Proteome_VU_20120816","S016-1-36","15","TCGA-AA-A00O
Primary Tumor"
"TCGA-AA-A00R-01A-22_Proteome_VU_20121103","S016-1-37","15","TCGA-AA-A00R
Primary Tumor"
"TCGA-AA-A00R-01A-31_Proteome_VU_20121227","S016-1-38","15","TCGA-AA-A00R
Primary Tumor"
"TCGA-AA-A00U-01A-41_Proteome_VU_20130201","S016-1-39","15","TCGA-AA-A00U
Primary Tumor"
"TCGA-AA-A010-01A-31_Proteome_VU_20120925","S016-1-40","15","TCGA-AA-A010
Primary Tumor"
"TCGA-AA-A017-01A-22_Proteome_VU_20120817","S016-1-41","15","TCGA-AA-A017
Primary Tumor"
"TCGA-AA-A01C-01A-22_Proteome_VU_20121015","S016-1-42","15","TCGA-AA-A01C
Primary Tumor"
"TCGA-AA-A01D-01A-23_Proteome_VU_20121105","S016-1-43","15","TCGA-AA-A01D
Primary Tumor"
"TCGA-AA-A01F-01A-23_Proteome_VU_20120727","S016-1-44","15","TCGA-AA-A01F
Primary Tumor"
"TCGA-AA-A01I-01A-12_Proteome_VU_20121118","S016-1-45","15","TCGA-AA-A01I
Primary Tumor"
"TCGA-AA-A01K-01A-31_Proteome_VU_20121116","S016-1-46","15","TCGA-AA-A01K
Primary Tumor"
"TCGA-AA-A01P-01A-23_Proteome_VU_20121214","S016-1-47","15","TCGA-AA-A01P
Primary Tumor"
